Sample_id,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9,Class_10
20,0.2674210396,0.6818965458,0.0020040678,0.0035081650,0.0098697855,0.0046767956,0.0149835331,0.0006717767,0.0105001725,0.0044681184
21,0.3264236787,0.5999224533,0.0458641924,0.0015155916,0.0022907598,0.0011166022,0.0135475723,0.0022035526,0.0033945602,0.0037210370
22,0.5479333959,0.0136271808,0.0351539460,0.0146893305,0.0472124617,0.0752217164,0.0559413389,0.1478948415,0.0090923602,0.0532334282
23,0.6983093338,0.0289185158,0.0226038602,0.0915007345,0.0663036524,0.0093050348,0.0150434394,0.0382005175,0.0017972903,0.0280176213
24,0.5309775343,0.1317748312,0.0216108375,0.1281010295,0.0082429705,0.0372255914,0.0510995208,0.0538868431,0.0019883240,0.0350925178
25,0.6138698803,0.1587978165,0.1054693718,0.0077923087,0.0069655356,0.0069905753,0.0193064121,0.0709225463,0.0008442532,0.0090413002
26,0.1390268744,0.1006560060,0.0120552605,0.6235377865,0.0381094345,0.0257673450,0.0348139665,0.0024346727,0.0036371686,0.0199614853
27,0.0252003051,0.0734539377,0.7355807282,0.0389636400,0.0087262889,0.0867650796,0.0117884059,0.0010928882,0.0132967156,0.0051320109
28,0.1238886998,0.0019615602,0.0104850274,0.0059869375,0.0583733953,0.0208349868,0.0146720163,0.7366276076,0.0130943817,0.0140753875
29,0.3526174464,0.0044674026,0.0043745388,0.0112194796,0.1117524948,0.1125609855,0.0414977269,0.2921738108,0.0529824046,0.0163537101
30,0.8081290105,0.0206425751,0.0082410908,0.0038777222,0.0631014817,0.0266616851,0.0383332503,0.0251764090,0.0010255910,0.0048111844
31,0.1438149630,0.0952470583,0.0069507454,0.6538424208,0.0066253829,0.0317858163,0.0140257101,0.0081610711,0.0011305198,0.0384163123
32,0.9281941947,0.0250880675,0.0023692843,0.0011833963,0.0223767069,0.0013021850,0.0120654250,0.0021314626,0.0001388114,0.0051504663
33,0.5180110799,0.0943567552,0.0080558451,0.0184962350,0.0151651110,0.0281345017,0.0587232752,0.2038470447,0.0028744402,0.0523357120
34,0.1769135746,0.0265017588,0.0132663445,0.0215090502,0.1701703400,0.1542751983,0.0591574927,0.0980089668,0.1813917536,0.0988055204
35,0.0379491273,0.0199116269,0.0030245128,0.8102071490,0.0221926469,0.0398925229,0.0246744110,0.0089067458,0.0024348719,0.0308063856
36,0.5681381452,0.0637074003,0.0599633776,0.0715108683,0.0197644678,0.0743614186,0.0287642081,0.0624862748,0.0016367465,0.0496670927
37,0.9456965665,0.0107038480,0.0013885735,0.0040291962,0.0105248538,0.0059075913,0.0095119679,0.0087171432,0.0001754369,0.0033448228
38,0.9483882018,0.0064423097,0.0006591460,0.0005253247,0.0216323841,0.0036130148,0.0122222175,0.0040920891,0.0004960656,0.0019292466
39,0.9074197998,0.0346586852,0.0026260299,0.0073428387,0.0150218836,0.0034674279,0.0063893131,0.0139622725,0.0004313933,0.0086803560
40,0.2855278842,0.5193645031,0.0203666753,0.0390410787,0.0487466331,0.0249096398,0.0367841127,0.0051574487,0.0141386443,0.0059633800
41,0.5470520323,0.0236548508,0.0030435911,0.0101602164,0.0983216407,0.0487951420,0.0717753909,0.0544512304,0.0047767376,0.1379691676
42,0.5212149603,0.4489126299,0.0035697392,0.0030250724,0.0081145709,0.0020009035,0.0057270698,0.0012127811,0.0030345554,0.0031877174
43,0.4900469526,0.0150121165,0.0982695456,0.0116759557,0.0654544824,0.1814510149,0.0482972745,0.0240865415,0.0298877470,0.0358183693
44,0.4533034540,0.0716071057,0.0400186446,0.0336931371,0.0662656812,0.0867548087,0.0353259690,0.1693431570,0.0201992559,0.0234887867
45,0.7043732843,0.0716907004,0.0166948039,0.0513524372,0.0134026062,0.0481488023,0.0215876461,0.0424616581,0.0076539691,0.0226340925
46,0.2013853811,0.7767370671,0.0070149777,0.0014481296,0.0068083626,0.0005855020,0.0044539655,0.0003605407,0.0005489780,0.0006570956
47,0.4385024482,0.4672106943,0.0019955974,0.0623047492,0.0118706629,0.0046941999,0.0093032008,0.0006494543,0.0024605849,0.0010084081
48,0.7704023948,0.1357119367,0.0036199189,0.0060641984,0.0337210229,0.0112706485,0.0263919272,0.0070219121,0.0006115915,0.0051844489
49,0.5393967300,0.0429759471,0.0046908770,0.1363179795,0.0367376845,0.0610099882,0.0268555685,0.1361632760,0.0010035031,0.0148484462
50,0.5620553548,0.1281590948,0.0043189928,0.0346176506,0.0266692152,0.0992359604,0.0572599975,0.0680830386,0.0075593097,0.0120413856
51,0.3361334906,0.6276486225,0.0146563080,0.0057850356,0.0016801562,0.0082856279,0.0029734630,0.0000544309,0.0021962330,0.0005866324
52,0.1201304024,0.0295477966,0.6110703754,0.0237057841,0.0878671337,0.0781054349,0.0241410039,0.0088474756,0.0110540721,0.0055305214
53,0.2476034491,0.1906751088,0.0211211416,0.2394912809,0.0597956955,0.0744989156,0.1266317162,0.0088316840,0.0094341090,0.0219168991
54,0.8228510151,0.0156785557,0.0003547234,0.0056357222,0.0288483751,0.0203813304,0.0299070197,0.0622957295,0.0012695567,0.0127779721
55,0.0053008338,0.0074537493,0.9661464391,0.0003861663,0.0015305448,0.0053090049,0.0009472005,0.0006875243,0.0119931637,0.0002453734
56,0.0623881061,0.0500857444,0.5516941421,0.0219575797,0.0432193121,0.0383224280,0.0239276657,0.0033731988,0.1893143086,0.0157175146
57,0.1688455225,0.0878550790,0.0557661348,0.0496008249,0.1065101817,0.1570025419,0.0564326750,0.0287115785,0.2317957085,0.0574797532
58,0.9198681142,0.0255776437,0.0013846510,0.0007532524,0.0297363351,0.0012535867,0.0117007345,0.0038809671,0.0005196458,0.0053250695
59,0.0197945281,0.0121155554,0.7247743271,0.0038704964,0.0114922586,0.1864789293,0.0025128814,0.0003127850,0.0374956404,0.0011525983
60,0.7691234454,0.0838347640,0.0115301785,0.0039948729,0.0113969327,0.0560443288,0.0365876150,0.0188185299,0.0015001812,0.0071691516
61,0.6282054852,0.0211767760,0.0027308890,0.1006714358,0.0655563993,0.0485023808,0.0720145208,0.0256385537,0.0042224289,0.0312811306
62,0.7945029803,0.0439643544,0.0190751396,0.0113591256,0.0182295886,0.0783730323,0.0141891139,0.0082832011,0.0027002745,0.0093231898
63,0.0494632634,0.0469889306,0.0072479425,0.7810845676,0.0457031965,0.0227375268,0.0175497226,0.0165306320,0.0018377428,0.0108564753
64,0.8223142573,0.0223179093,0.0058271712,0.0061388995,0.0765151351,0.0045923741,0.0244891259,0.0095043642,0.0022622077,0.0260385557
65,0.3697351774,0.0184111972,0.0061659940,0.0742029641,0.1518534534,0.2592595621,0.0692080960,0.0166849751,0.0280929795,0.0063856012
66,0.1810578937,0.6510808399,0.0287001798,0.0143306154,0.0176899864,0.0078610581,0.0234550530,0.0063186915,0.0047690716,0.0647366106
67,0.9038881757,0.0178639409,0.0057637336,0.0096879772,0.0046068081,0.0140015430,0.0075547431,0.0189894419,0.0067577480,0.0108858885
68,0.0359160530,0.4998057119,0.0197655443,0.3918412933,0.0139054232,0.0043395714,0.0295501560,0.0008445380,0.0008413727,0.0031903363
69,0.0603183088,0.8740069420,0.0052793382,0.0394294799,0.0082755163,0.0021432720,0.0088556660,0.0002560011,0.0006921177,0.0007433580
70,0.4728154392,0.2463786285,0.0559392153,0.0199831019,0.0490919372,0.0704907485,0.0361764180,0.0310670725,0.0029917366,0.0150657024
71,0.9189519079,0.0106271747,0.0026418811,0.0017573364,0.0147109218,0.0026913513,0.0089747793,0.0329092977,0.0003548382,0.0063805117
72,0.7165915149,0.0594864106,0.0047982741,0.0196696907,0.1138361222,0.0321097039,0.0297135154,0.0167906812,0.0024586491,0.0045454379
73,0.6621433231,0.0233540710,0.0032972425,0.0565652784,0.0321885164,0.1188895040,0.0138944609,0.0737930581,0.0006054358,0.0152691095
74,0.2215135486,0.0201000222,0.0089657126,0.0569312198,0.2927656889,0.0424175794,0.3015256698,0.0159654950,0.0023075431,0.0375075207
75,0.6039578552,0.0064107334,0.0009539207,0.0010295026,0.0133877299,0.0050446655,0.0175982826,0.3412892248,0.0021029349,0.0082251503
76,0.0348912316,0.5407999402,0.3416869888,0.0094639239,0.0095376226,0.0357624439,0.0176665923,0.0003863258,0.0059609928,0.0038439380
77,0.5842108817,0.2425702685,0.0091892811,0.0148868772,0.0146446398,0.0518233940,0.0154003111,0.0442313634,0.0016930862,0.0213498970
78,0.0283879175,0.0478309092,0.8259412665,0.0120012146,0.0063040373,0.0415170116,0.0057304147,0.0008152877,0.0278627406,0.0036092004
79,0.0824700795,0.0138332752,0.1114537813,0.0086293212,0.0296552858,0.2346172213,0.0359872394,0.0047968665,0.4570940370,0.0214628928
80,0.2373732952,0.0547431401,0.0233501188,0.1398626110,0.0462827416,0.0553909896,0.0810852527,0.0446856957,0.0267913299,0.2904348253
81,0.0389404106,0.0186839457,0.3375641669,0.0084781311,0.0200069387,0.3594077329,0.0149739574,0.0052677024,0.1817855556,0.0148914587
82,0.8430660658,0.0454559322,0.0008644866,0.0040141732,0.0136247849,0.0034554660,0.0659071179,0.0141563015,0.0028984058,0.0065572662
83,0.8662057559,0.0142472495,0.0005213149,0.0018765778,0.0096813686,0.0075070821,0.0306380396,0.0595180384,0.0048156266,0.0049889466
84,0.6458185354,0.2744449477,0.0038153694,0.0513267020,0.0065784565,0.0022389538,0.0121548194,0.0006909346,0.0008694803,0.0020618008
85,0.0065376304,0.0385658259,0.8220681428,0.0109661530,0.0052051485,0.0204956445,0.0069175573,0.0009567902,0.0867165812,0.0015705261
86,0.7559364752,0.0187183125,0.0245839204,0.0041254794,0.0410413785,0.0132086365,0.0469985758,0.0647775802,0.0027935240,0.0278161173
87,0.3328306046,0.0738085899,0.0084680155,0.4192011605,0.0411504076,0.0334831120,0.0730594561,0.0016663752,0.0013510827,0.0149811959
88,0.0127145108,0.0947774835,0.8231509580,0.0067910852,0.0039906986,0.0453111631,0.0042149942,0.0002974257,0.0032787117,0.0054729692
89,0.4131065478,0.0185068020,0.0233960545,0.1302317537,0.0898777093,0.0948168650,0.0525185355,0.1497735307,0.0026647971,0.0251074043
90,0.6983693427,0.0116085257,0.0027342594,0.0201049281,0.0238329421,0.1236147546,0.0393098954,0.0707136689,0.0010642993,0.0086473838
91,0.4103224011,0.0272587664,0.0271634458,0.0533714229,0.0754943772,0.2715020207,0.0344301007,0.0202969204,0.0064319050,0.0737286397
92,0.0882737048,0.4151805360,0.4070331897,0.0074190135,0.0234207547,0.0248248423,0.0187564890,0.0028816588,0.0085903488,0.0036194625
93,0.8495244475,0.0213492564,0.0028073066,0.0007084542,0.0502667826,0.0040287504,0.0270098300,0.0288491742,0.0016420869,0.0138139111
94,0.9412125230,0.0106840938,0.0066262285,0.0003579732,0.0153622523,0.0009861484,0.0182667318,0.0038625098,0.0006481222,0.0019934169
95,0.8219388183,0.0631781896,0.0003385160,0.0068702805,0.0536404767,0.0075649121,0.0352482016,0.0018815082,0.0053885437,0.0039505533
96,0.8764742196,0.0233873299,0.0037480501,0.0107296187,0.0085123492,0.0061346374,0.0186122281,0.0347139678,0.0002586887,0.0174289105
97,0.1266016085,0.0190887928,0.0139514754,0.0114986195,0.1404402836,0.5651469657,0.0279780372,0.0399605621,0.0475144711,0.0078191841
98,0.4517907859,0.0707759994,0.0570952700,0.1837851719,0.0242420821,0.0911996167,0.0307430167,0.0558899566,0.0015109371,0.0329671638
99,0.2103301691,0.6114480402,0.0143641115,0.0165252974,0.0445245980,0.0087094856,0.0773958312,0.0031483873,0.0109187779,0.0026353018
100,0.2716654887,0.0411382327,0.0954802735,0.0146996551,0.1990052134,0.0622345922,0.0509973314,0.1367155563,0.0758483272,0.0522153295
101,0.8210033812,0.0705398136,0.0015800083,0.0055801504,0.0322371824,0.0056575020,0.0342917484,0.0121888233,0.0018929299,0.0150284605
102,0.1492721906,0.0361385953,0.0049050814,0.3814474858,0.0635769106,0.0959652107,0.1564475962,0.0522654192,0.0039486431,0.0560328672
103,0.3316117694,0.0161908141,0.0076757921,0.0384503122,0.1650526189,0.1756402549,0.0411130920,0.0650079075,0.0299735279,0.1292839110
104,0.8451967088,0.0402202405,0.0009430310,0.0056312862,0.0231229748,0.0138510946,0.0359002230,0.0241986730,0.0008203964,0.0101153716
105,0.1117856605,0.3589773132,0.0178894916,0.4073232788,0.0170891786,0.0423369127,0.0319019977,0.0027454083,0.0056601288,0.0042906298
106,0.8673059180,0.0886972299,0.0034987827,0.0025976248,0.0113227355,0.0020455438,0.0072965315,0.0116035830,0.0031435328,0.0024885180
107,0.6999095934,0.0088245271,0.0032036238,0.0034697390,0.0337826980,0.0230297020,0.0262093000,0.1946348507,0.0029690595,0.0039669065
108,0.9539647862,0.0099543355,0.0005107394,0.0008230376,0.0079366419,0.0010292045,0.0199501704,0.0006694738,0.0004451147,0.0047164960
109,0.1864731564,0.4601263040,0.0153114306,0.1254772909,0.0786510612,0.0459177759,0.0551894673,0.0056392868,0.0039931562,0.0232210707
110,0.7634911441,0.0377107772,0.0076106954,0.0647889089,0.0214273360,0.0231751138,0.0131784768,0.0395938136,0.0016457448,0.0273779894
111,0.2949720464,0.2076868874,0.2275164998,0.0408246883,0.0283151187,0.0842282063,0.0302772323,0.0272234757,0.0425927904,0.0163630547
112,0.0467779771,0.7682403575,0.0863625299,0.0080267013,0.0094970974,0.0362956731,0.0160716985,0.0035857617,0.0201994045,0.0049427988
113,0.9099368150,0.0220520196,0.0006754264,0.0032825754,0.0132936115,0.0074461145,0.0115728219,0.0253663230,0.0014586516,0.0049156410
114,0.6378313423,0.0261620374,0.0032912450,0.0055717768,0.0188249978,0.0120523071,0.0305447025,0.2166403986,0.0083991044,0.0406820881
115,0.9701284079,0.0130938087,0.0009441118,0.0004698992,0.0035714934,0.0034765201,0.0037477470,0.0026189647,0.0004582316,0.0014908156
116,0.4026694838,0.0226053355,0.0072329112,0.1545062867,0.0776411046,0.0223153824,0.1235552162,0.1031782519,0.0088694142,0.0774266136
117,0.7386212803,0.0312887528,0.0280599247,0.0021639435,0.1255912950,0.0040366821,0.0346554804,0.0156181124,0.0035095160,0.0164550127
118,0.8974507746,0.0226153954,0.0196821848,0.0030316062,0.0194252139,0.0036294734,0.0233803546,0.0028156566,0.0008974082,0.0070719323
119,0.9598492891,0.0094301717,0.0013392968,0.0006622076,0.0138544435,0.0023008869,0.0094025790,0.0014839396,0.0003961729,0.0012810129
120,0.6625393759,0.0429334829,0.1864456337,0.0029008596,0.0277958764,0.0116461089,0.0212716097,0.0254221815,0.0027421254,0.0163027461
121,0.6876370507,0.0325391508,0.0027036236,0.0027036974,0.0237179030,0.0104524182,0.0212769906,0.2106717189,0.0003516590,0.0079457877
122,0.9422194296,0.0353610593,0.0001999604,0.0010281607,0.0062876154,0.0019941835,0.0089621124,0.0009165479,0.0006558947,0.0023750361
123,0.1064286740,0.5911270571,0.0315548956,0.1322699014,0.0252385577,0.0191827011,0.0160992818,0.0028896327,0.0046582136,0.0705510849
124,0.9268241731,0.0182629144,0.0008321338,0.0027226938,0.0169671011,0.0031611872,0.0215832695,0.0040922542,0.0005398717,0.0050144012
125,0.0635832152,0.0255901472,0.7436165838,0.0035285553,0.0790625751,0.0231977292,0.0412725848,0.0068297899,0.0065450277,0.0067737919
126,0.2633818120,0.1101596390,0.0250845668,0.0630840753,0.2038833214,0.0791742982,0.0964725258,0.0078119143,0.1203746631,0.0305731841
127,0.6797351447,0.0204499525,0.0141473562,0.0086289721,0.0506670726,0.0301569172,0.0371021520,0.0795323110,0.0053290270,0.0742510948
128,0.9567482923,0.0146164047,0.0014044084,0.0034246861,0.0048812801,0.0064648566,0.0079034510,0.0019598722,0.0001893222,0.0024074262
129,0.0659428733,0.1765405064,0.4529995563,0.0888805096,0.0066882249,0.0776054218,0.0218905600,0.0037671871,0.0963209813,0.0093641793
130,0.4212150941,0.5226868497,0.0028246338,0.0178000623,0.0066376883,0.0040338707,0.0178164085,0.0018167603,0.0003627696,0.0048058626
131,0.0756993347,0.0137743201,0.0098695099,0.0219675201,0.6917467592,0.0841734306,0.0556360858,0.0066372321,0.0341848728,0.0063109348
132,0.6976863205,0.0134760880,0.0021151036,0.0018525405,0.0360395240,0.0090528679,0.0522588227,0.1724771916,0.0017956930,0.0132458483
133,0.9127240110,0.0044267318,0.0008722533,0.0054757293,0.0166737004,0.0152921436,0.0085237695,0.0224548457,0.0010051463,0.0125516691
134,0.1927264906,0.0781925076,0.0266886260,0.0230732266,0.2355390137,0.1368760237,0.0836426302,0.0383093508,0.1110600581,0.0738920728
135,0.7860946160,0.1005984909,0.0112116905,0.0035415107,0.0481141464,0.0089694477,0.0307827896,0.0010968872,0.0017101009,0.0078803201
136,0.1205171582,0.0453183178,0.0066206699,0.6335315914,0.0463984514,0.0897138268,0.0246405699,0.0182410393,0.0018316743,0.0131867010
137,0.0946019321,0.0223652011,0.0359724428,0.0104659420,0.0137815019,0.7444462141,0.0307315853,0.0023033735,0.0428407279,0.0024910793
138,0.1036135994,0.0253315093,0.7707606887,0.0161431962,0.0207718324,0.0337717727,0.0064849829,0.0010370775,0.0204125246,0.0016728163
139,0.2700081822,0.0125390798,0.4392960809,0.0189465976,0.0454724392,0.1152984215,0.0297911859,0.0145774567,0.0304513054,0.0236192508
140,0.7358521602,0.0195245520,0.0034126181,0.0244488059,0.0207808482,0.0174464598,0.0306714595,0.1035515331,0.0015209932,0.0427905702
141,0.8252211677,0.1126851622,0.0008557694,0.0080771855,0.0118232853,0.0033459722,0.0178130517,0.0084013801,0.0091860523,0.0025909737
142,0.6027764901,0.1103186401,0.0069236982,0.0170403310,0.0434739381,0.0101590240,0.0525690393,0.1104435103,0.0031109287,0.0431844002
143,0.5498267120,0.1328033372,0.0049832819,0.0279500520,0.0980835628,0.0173696058,0.1233376608,0.0239506342,0.0063015794,0.0153935741
144,0.8886270815,0.0175111059,0.0006632424,0.0018165466,0.0164367079,0.0042631133,0.0152298460,0.0523283229,0.0002801706,0.0028438628
145,0.3300222041,0.0478485002,0.0473187134,0.0499846307,0.0573612067,0.1923629789,0.0940440360,0.0132821510,0.0239544966,0.1438210823
146,0.8034349561,0.0276293123,0.0021396977,0.0007936188,0.0152613506,0.0019562447,0.0285384985,0.1120802353,0.0028643582,0.0053017278
147,0.5351847184,0.2001931451,0.0038253947,0.0323120061,0.0260861184,0.0039007258,0.0854962106,0.1010270397,0.0051301845,0.0068444568
148,0.7307049164,0.0287807037,0.0017736406,0.0474118785,0.0891646189,0.0536235853,0.0266023509,0.0146220975,0.0023126995,0.0050035086
149,0.1321868008,0.1297383134,0.1249727427,0.0230217320,0.2580509306,0.0451278369,0.0242467925,0.0020718127,0.2538925063,0.0066905320
150,0.7738869778,0.1673776925,0.0185486998,0.0015366221,0.0153238445,0.0018102490,0.0069051106,0.0052494349,0.0007809537,0.0085804151
151,0.3914607166,0.5787534545,0.0043530324,0.0066248237,0.0032950575,0.0011862075,0.0109222787,0.0010243628,0.0014090040,0.0009710625
152,0.5563346283,0.0091402068,0.0052227021,0.0461550012,0.0625463856,0.0496265916,0.0531344477,0.1765896340,0.0257259987,0.0155244041
153,0.0991547409,0.8827895599,0.0054376009,0.0051898189,0.0029694707,0.0004044068,0.0025246529,0.0007127836,0.0003367976,0.0004801679
154,0.1610948790,0.2795441831,0.0306436386,0.1855470142,0.1570577197,0.0799078010,0.0575240698,0.0115975041,0.0097994122,0.0272837783
155,0.0950852051,0.0844149361,0.0406686474,0.2878233430,0.0618746135,0.2243768605,0.0640818869,0.0094579988,0.1136511958,0.0185653129
156,0.9390756989,0.0206330969,0.0054292485,0.0065156835,0.0078256097,0.0033648764,0.0053913113,0.0035024989,0.0005873266,0.0076746494
157,0.2096826343,0.0371921361,0.0430397737,0.0164973834,0.0983976393,0.1855569717,0.1268912324,0.1469854767,0.0113784702,0.1243782822
158,0.5544669065,0.0816086818,0.0030148372,0.0128912762,0.1467248660,0.0597391856,0.0712018941,0.0511011877,0.0093324673,0.0099186977
159,0.4952655695,0.0486274484,0.0052572616,0.0408703270,0.0622200579,0.0499074289,0.0791272526,0.1959890114,0.0056851938,0.0170504488
160,0.8036036359,0.0190767381,0.0022078487,0.0181311547,0.0541245441,0.0321360149,0.0294646839,0.0142972101,0.0083130187,0.0186451509
161,0.5587936484,0.0297854846,0.0076431485,0.0108176371,0.1021849674,0.0137516141,0.1731874016,0.0652250495,0.0034808237,0.0351302250
162,0.4455251172,0.0943779132,0.0115357465,0.0918507187,0.0387393635,0.2400167992,0.0459122645,0.0092992251,0.0100564928,0.0126863594
163,0.6948349916,0.0096841050,0.0074602094,0.0036321535,0.0617414416,0.0231076230,0.0422387286,0.1376720385,0.0044713471,0.0151573618
164,0.2236001598,0.3432634136,0.0319267333,0.2913804698,0.0039798914,0.0656616777,0.0233286298,0.0066947348,0.0011427956,0.0090214942
165,0.1027961453,0.0300431344,0.0207957329,0.2588903669,0.1624912860,0.1276041770,0.1068705427,0.0466451429,0.1002731585,0.0435903134
166,0.5464576402,0.0597037002,0.0325903669,0.0631111638,0.0599034533,0.1243408651,0.0502435377,0.0313409271,0.0193823159,0.0129260297
167,0.3345861782,0.0321965015,0.0160244477,0.0146603595,0.0367832618,0.0119648165,0.0491171935,0.4123929233,0.0050001291,0.0872741888
168,0.8255312738,0.0141626213,0.0077788615,0.0020336037,0.0670857488,0.0502688848,0.0208137194,0.0013972297,0.0088760595,0.0020519975
169,0.1650991737,0.0138056805,0.0235503987,0.3396934855,0.0397181546,0.3382040126,0.0176792632,0.0258587658,0.0027361130,0.0336549522
170,0.2638279430,0.0280968442,0.0131324367,0.1726535969,0.1887387900,0.1652490587,0.0417001455,0.0381284130,0.0080847904,0.0803879817
171,0.1489123706,0.7072226802,0.0147464882,0.0421208612,0.0086704548,0.0111487159,0.0635996407,0.0009204759,0.0001770466,0.0024812661
172,0.6165063043,0.0048849799,0.0026985149,0.0077713477,0.2007049081,0.0918789174,0.0285713292,0.0375498015,0.0035797853,0.0058541118
173,0.4339272424,0.0301280600,0.0224573738,0.0130833985,0.1426702011,0.0483747674,0.0580200775,0.2177623520,0.0098590039,0.0237175233
174,0.3220350633,0.0304431957,0.0132987014,0.1625252171,0.0898034275,0.2692025716,0.0171727774,0.0620632033,0.0114720139,0.0219838288
175,0.8187813498,0.0589561001,0.0420399210,0.0052283320,0.0119928714,0.0050709191,0.0421164873,0.0027596528,0.0018551657,0.0111992010
176,0.5664165964,0.3843868321,0.0166132496,0.0078616171,0.0035258881,0.0010359101,0.0152529216,0.0018992463,0.0012840370,0.0017237018
177,0.3008027028,0.5124276359,0.0443777287,0.0110323695,0.0549289766,0.0095225431,0.0282614165,0.0173455580,0.0032251819,0.0180758871
178,0.7500299028,0.0166584304,0.0049767260,0.0477877140,0.0511910508,0.0468875701,0.0332267328,0.0336453475,0.0015400059,0.0140565197
179,0.4502167482,0.0172859013,0.0056993911,0.0114669425,0.1045271597,0.1338516790,0.0464246728,0.1793459225,0.0040074970,0.0471740859
180,0.8160300748,0.0213215310,0.0066473170,0.0115774446,0.0185017612,0.0159989630,0.0517112013,0.0387864427,0.0006638982,0.0187613661
181,0.8248697323,0.0424129359,0.0011732489,0.0045038840,0.0120556188,0.0132357542,0.0176802330,0.0434662738,0.0011967111,0.0394056080
182,0.8385113349,0.0451496900,0.0049056572,0.0186840672,0.0303611050,0.0083711319,0.0119117785,0.0354126713,0.0004020303,0.0062905338
183,0.0275843515,0.9425223252,0.0191035414,0.0035016185,0.0027431640,0.0011922442,0.0022580270,0.0000161425,0.0010214197,0.0000571659
184,0.1250734045,0.1306938403,0.0498828963,0.0160189081,0.0147324995,0.5686126809,0.0539768197,0.0039623644,0.0267722790,0.0102743073
185,0.4059432957,0.5253360669,0.0042446511,0.0153320152,0.0112583954,0.0136603383,0.0147252973,0.0009975107,0.0073072984,0.0011951310
186,0.8555711955,0.0183933851,0.0077498019,0.0056836209,0.0385390835,0.0045327967,0.0195927189,0.0321422924,0.0007994385,0.0169956665
187,0.0332574531,0.0078446033,0.7456364387,0.0300975900,0.0191046315,0.1311167142,0.0065637239,0.0057740607,0.0131649759,0.0074398086
188,0.6404037643,0.0365764571,0.0183596066,0.0142974631,0.1063088557,0.0322543574,0.0497110877,0.0636873192,0.0072293519,0.0311717371
189,0.6040278085,0.1285942825,0.0055126028,0.0477926354,0.0742960732,0.0177983455,0.0812766072,0.0130290318,0.0024890566,0.0251835564
190,0.3095839930,0.0423281805,0.0023442957,0.1981607833,0.0671310635,0.0507073976,0.0550187774,0.1006363482,0.0027480535,0.1713411072
191,0.1765003127,0.4146644602,0.0360160406,0.0862693702,0.0635225742,0.0603769099,0.1136008858,0.0048952856,0.0336183725,0.0105357882
192,0.0727041981,0.8915016482,0.0045634498,0.0101591149,0.0094930148,0.0040013434,0.0053740559,0.0000642838,0.0014109411,0.0007279501
